:r,0.384,0
60,0.384,90
:r,0.384,0
65,0.384,90
:r,0.384,0
65,0.384,90
:r,0.384,0
64,0.576,90
:r,0.576,0
65,0.192,90
:r,0.192,0
67,0.384,90
:r,0.384,0
69,0.384,90
:r,0.384,0
65,0.576,90
:r,0.576,0
64,0.192,90
:r,0.192,0
62,0.384,90
:r,0.384,0
60,0.576,90
:r,0.576,0
62,0.192,90
:r,0.192,0
64,0.192,90
:r,0.192,0
65,0.192,90
:r,0.192,0
67,0.384,90
:r,0.384,0
55,0.768,90
:r,0.768,0
62,0.576,90
:r,0.576,0
64,0.192,90
:r,0.192,0
65,0.384,90
:r,0.384,0
64,0.384,90
:r,0.384,0
65,0.768,90
:r,0.768,0
64,0.384,90
:r,0.384,0
65,0.384,90
:r,0.384,0
69,0.576,90
:r,0.576,0
69,0.192,90
:r,0.192,0
67,0.384,90
:r,0.384,0
65,0.384,90
:r,0.384,0
62,0.192,90
:r,0.192,0
64,0.192,90
:r,0.192,0
65,0.192,90
:r,0.192,0
67,0.192,90
:r,0.192,0
69,0.384,90
:r,0.384,0
62,0.576,90
:r,0.576,0
64,0.192,90
:r,0.192,0
65,0.192,90
:r,0.192,0
67,0.192,90
:r,0.192,0
69,0.192,90
:r,0.192,0
65,0.192,90
:r,0.192,0
67,1.152,90
:r,1.152,0
67,0.384,90
:r,0.384,0
64,0.384,90
:r,0.384,0
65,0.384,90
:r,0.384,0
67,0.576,90
:r,0.576,0
67,0.192,90
:r,0.192,0
69,0.384,90
:r,0.384,0
65,0.384,90
:r,0.384,0
67,0.576,90
:r,0.576,0
65,0.192,90
:r,0.192,0
64,0.384,90
:r,0.384,0
65,0.768,90
:r,0.768,0
64,0.384,90
:r,0.384,0
65,0.384,90
:r,0.384,0
69,0.576,90
:r,0.576,0
69,0.192,90
:r,0.192,0
67,0.384,90
:r,0.384,0
65,0.384,90
:r,0.384,0
62,0.192,90
:r,0.192,0
64,0.192,90
:r,0.192,0
65,0.192,90
:r,0.192,0
67,0.192,90
:r,0.192,0
69,0.384,90
:r,0.384,0
62,0.576,90
:r,0.576,0
64,0.192,90
:r,0.192,0
65,0.192,90
:r,0.192,0
67,0.192,90
:r,0.192,0
69,0.192,90
:r,0.192,0
65,0.192,90
:r,0.192,0
67,1.152,90
:r,1.152,0
67,0.384,90
:r,0.384,0
64,0.384,90
:r,0.384,0
65,0.384,90
:r,0.384,0
67,0.576,90
:r,0.576,0
67,0.192,90
:r,0.192,0
69,0.384,90
:r,0.384,0
65,0.384,90
:r,0.384,0
67,0.576,90
:r,0.576,0
65,0.192,90
:r,0.192,0
64,0.384,90
:r,0.384,0
65,0.768,90
:r,0.768,0
64,0.384,90
:r,0.384,0
65,1.536,90
