:r,0.384,0
72,0.384,90
:r,0.384,0
72,0.384,90
:r,0.384,0
74,0.384,90
:r,0.384,0
76,1.152,90
:r,1.152,0
77,0.384,90
:r,0.384,0
74,0.576,90
:r,0.576,0
72,0.192,90
:r,0.192,0
70,0.384,90
:r,0.384,0
69,0.384,90
:r,0.384,0
67,1.152,90
:r,1.152,0
67,0.384,90
:r,0.384,0
70,0.576,90
:r,0.576,0
72,0.192,90
:r,0.192,0
74,0.384,90
:r,0.384,0
69,0.384,90
:r,0.384,0
72,0.384,90
:r,0.384,0
65,0.384,90
:r,0.384,0
67,0.576,90
:r,0.576,0
65,0.192,90
:r,0.192,0
65,0.768,90
:r,1.92,0
77,0.576,90
:r,0.576,0
77,0.192,90
:r,0.192,0
76,0.384,90
:r,0.384,0
74,1.152,90
:r,1.152,0
72,0.384,90
:r,0.384,0
71,0.384,90
:r,0.384,0
72,0.384,90
:r,0.384,0
74,0.576,90
:r,0.576,0
72,0.192,90
:r,0.192,0
72,0.768,90
:r,1.152,0
79,0.384,90
:r,0.384,0
72,0.384,90
:r,0.384,0
77,0.384,90
:r,0.384,0
70,0.384,90
:r,0.384,0
74,0.384,90
:r,0.384,0
67,0.384,90
:r,0.384,0
69,0.192,90
:r,0.192,0
70,0.192,90
:r,0.192,0
72,0.576,90
:r,0.576,0
70,0.192,90
:r,0.192,0
69,0.768,90
:r,1.92,0
77,0.576,90
:r,0.576,0
77,0.192,90
:r,0.192,0
76,0.384,90
:r,0.384,0
74,1.152,90
:r,1.152,0
72,0.384,90
:r,0.384,0
71,0.384,90
:r,0.384,0
72,0.384,90
:r,0.384,0
74,0.576,90
:r,0.576,0
72,0.192,90
:r,0.192,0
72,0.768,90
:r,1.152,0
79,0.384,90
:r,0.384,0
72,0.384,90
:r,0.384,0
77,0.384,90
:r,0.384,0
70,0.384,90
:r,0.384,0
74,0.384,90
:r,0.384,0
67,0.384,90
:r,0.384,0
69,0.192,90
:r,0.192,0
70,0.192,90
:r,0.192,0
72,0.576,90
:r,0.576,0
70,0.192,90
:r,0.192,0
69,1.536,90
