:r,0.384,0
60,0.384,90
:r,0.384,0
60,0.384,90
:r,0.384,0
59,0.384,90
:r,0.384,0
60,1.152,90
:r,1.152,0
60,0.384,90
:r,0.384,0
58,0.384,90
:r,0.384,0
58,0.384,90
:r,0.384,0
65,0.384,90
:r,0.384,0
65,0.384,90
:r,0.384,0
64,1.152,90
:r,1.152,0
64,0.384,90
:r,0.384,0
62,0.576,90
:r,0.576,0
60,0.192,90
:r,0.192,0
58,0.384,90
:r,0.384,0
53,0.384,90
:r,0.384,0
55,0.384,90
:r,0.384,0
57,0.384,90
:r,0.384,0
55,0.384,90
:r,0.384,0
55,0.384,90
:r,0.384,0
57,0.768,90
:r,1.152,0
60,0.576,90
:r,0.576,0
60,0.192,90
:r,0.192,0
58,0.384,90
:r,0.384,0
57,0.384,90
:r,0.384,0
57,0.384,90
:r,0.384,0
58,0.576,90
:r,0.576,0
60,0.192,90
:r,0.192,0
62,0.192,90
:r,0.192,0
64,0.192,90
:r,0.192,0
65,0.192,90
:r,0.192,0
60,0.192,90
:r,0.192,0
63,0.384,90
:r,0.384,0
63,0.384,90
:r,0.384,0
62,0.768,90
:r,0.768,0
67,0.384,90
:r,0.384,0
60,0.384,90
:r,0.384,0
62,0.384,90
:r,0.384,0
60,0.768,90
:r,0.768,0
62,0.192,90
:r,0.192,0
65,0.192,90
:r,0.192,0
63,0.384,90
:r,0.384,0
62,0.384,90
:r,0.384,0
60,0.768,90
:r,0.768,0
60,0.768,90
:r,0.768,0
60,0.768,90
:r,1.152,0
60,0.576,90
:r,0.576,0
60,0.192,90
:r,0.192,0
58,0.384,90
:r,0.384,0
57,0.384,90
:r,0.384,0
57,0.384,90
:r,0.384,0
58,0.576,90
:r,0.576,0
60,0.192,90
:r,0.192,0
62,0.192,90
:r,0.192,0
64,0.192,90
:r,0.192,0
65,0.192,90
:r,0.192,0
60,0.192,90
:r,0.192,0
63,0.384,90
:r,0.384,0
63,0.384,90
:r,0.384,0
62,0.768,90
:r,0.768,0
67,0.384,90
:r,0.384,0
60,0.384,90
:r,0.384,0
62,0.384,90
:r,0.384,0
60,0.768,90
:r,0.768,0
62,0.192,90
:r,0.192,0
65,0.192,90
:r,0.192,0
63,0.384,90
:r,0.384,0
62,0.384,90
:r,0.384,0
60,0.768,90
:r,0.768,0
60,0.768,90
:r,0.768,0
60,1.536,90
