:r,0.384,0
57,0.384,90
:r,0.384,0
57,0.384,90
:r,0.384,0
55,0.192,90
:r,0.192,0
53,0.192,90
:r,0.192,0
55,0.576,90
:r,0.576,0
53,0.192,90
:r,0.192,0
52,0.384,90
:r,0.384,0
48,0.384,90
:r,0.384,0
50,0.576,90
:r,0.576,0
52,0.192,90
:r,0.192,0
53,0.192,90
:r,0.192,0
55,0.192,90
:r,0.192,0
57,0.192,90
:r,0.192,0
58,0.192,90
:r,0.192,0
60,0.384,90
:r,0.384,0
48,0.384,90
:r,0.384,0
48,0.192,90
:r,0.192,0
50,0.192,90
:r,0.192,0
52,0.192,90
:r,0.192,0
53,0.192,90
:r,0.192,0
55,0.768,90
:r,0.768,0
50,0.768,90
:r,0.768,0
52,0.192,90
:r,0.192,0
48,0.192,90
:r,0.192,0
60,0.384,90
:r,0.384,0
62,0.384,90
:r,0.384,0
60,0.384,90
:r,0.384,0
60,1.152,90
:r,1.152,0
48,0.384,90
:r,0.384,0
53,0.576,90
:r,0.576,0
55,0.192,90
:r,0.192,0
57,0.192,90
:r,0.192,0
58,0.192,90
:r,0.192,0
60,0.384,90
:r,0.384,0
62,0.768,90
:r,1.536,0
55,0.384,90
:r,0.384,0
60,0.768,90
:r,0.768,0
59,0.384,90
:r,0.384,0
60,0.384,90
:r,0.384,0
57,0.384,90
:r,0.384,0
58,0.384,90
:r,0.384,0
60,0.384,90
:r,0.384,0
57,0.384,90
:r,0.384,0
62,0.384,90
:r,0.384,0
55,0.192,90
:r,0.192,0
55,0.192,90
:r,0.192,0
58,0.768,90
:r,0.768,0
57,0.384,90
:r,0.384,0
55,0.768,90
:r,0.768,0
53,0.768,90
:r,1.152,0
48,0.384,90
:r,0.384,0
53,0.576,90
:r,0.576,0
55,0.192,90
:r,0.192,0
57,0.192,90
:r,0.192,0
58,0.192,90
:r,0.192,0
60,0.384,90
:r,0.384,0
62,0.768,90
:r,1.536,0
55,0.384,90
:r,0.384,0
60,0.768,90
:r,0.768,0
59,0.384,90
:r,0.384,0
60,0.384,90
:r,0.384,0
57,0.384,90
:r,0.384,0
58,0.384,90
:r,0.384,0
60,0.384,90
:r,0.384,0
57,0.384,90
:r,0.384,0
62,0.384,90
:r,0.384,0
55,0.192,90
:r,0.192,0
55,0.192,90
:r,0.192,0
58,0.768,90
:r,0.768,0
57,0.384,90
:r,0.384,0
55,0.768,90
:r,0.768,0
53,1.536,90
